name,jpName,se,time,skillLv,item,buy,sell
天婦羅,天ぷら,HP+30%，RP+40%，HP上限-25%，RP上限+50%，力量+8,6,40,油，洋蔥，蝦，優質蛋,9180,4590
天婦羅,天ぷら,HP+30%，RP+40%，HP上限-25%，RP上限+50%，力量+8,6,42,油，洋蔥，蝦，每天健康蛋,9180,4590
玉米片,コーンフレーク,HP+45%，RP+60%，力量+3,6,17,玉米，牛奶,2360,1180
玉米片,コーンフレーク,HP+45%，RP+60%，力量+3,6,20,玉米，優質牛奶,2360,1180
玉米片,コーンフレーク,HP+45%，RP+60%，力量+3,6,23,玉米，富鈣牛奶,2360,1180
沙丁魚串,めざし,HP+20%，RP+25%，會心一擊出現概率略微提升,6,20,沙丁魚，沙丁魚，沙丁魚,1660,830
咖喱炒飯/干咖喱,ドライカレー,HP+20，RP+30，RP上限-50%，力量+8，體力+18,6,40,油，咖喱粉，米飯，胡蘿蔔，青椒，洋蔥,5940,2970
咖喱麵包,カレーパン,HP+40%，RP+45%，RP上限-50%，力量+8，體力+8,6,42,油，小麥粉，咖喱炒飯,15800,7900
法式吐司/奶油吐司,フレンチトースト,HP+55%，RP+50%，力量-7，體力+8,6,19,油，麵包，蛋,3760,1880
法式吐司/奶油吐司,フレンチトースト,HP+55%，RP+50%，力量-7，體力+8,6,23,油，麵包，優質蛋,3760,1880
法式吐司/奶油吐司,フレンチトースト,HP+55%，RP+50%，力量-7，體力+8,6,27,油，麵包，每天健康蛋,3760,1880
炒飯,チャーハン,HP+70%，RP+50%，HP上限+30%，體力+12，對吹飛抗性略微提升,12,37,油，米飯，大蔥，青椒，優質蛋,5980,2990
炒飯,チャーハン,HP+70%，RP+50%，HP上限+30%，體力+12，對吹飛抗性略微提升,12,39,油，米飯，大蔥，青椒，每天健康蛋,5980,2990
可樂餅,コロッケ,HP+240，RP+40%，HP上限+80,6,14,馬鈴薯，油，蛋,3220,1610
可樂餅,コロッケ,HP+240，RP+40%，HP上限+80,6,16,馬鈴薯，油，優質蛋,3220,1610
可樂餅,コロッケ,HP+240，RP+40%，HP上限+80,6,18,馬鈴薯，油，每天健康蛋,3220,1610
炸薯條,フライドポテト,HP+260，RP+40%，RP上限+20%，智力+2,6,23,馬鈴薯，油,1980,990
烏冬燒/烤麵條,焼きうどん,HP+70%，RP+50%，HP上限+25%，體力+12,12,24,油，小麥粉，洋蔥，胡蘿蔔，捲心菜,9460,4730
烤心跳鯛魚,焼きトキメキタイ,HP+50%，RP+60%，力量-4，體力+8，智力+4%，受到會心一擊的概率略微下降,6,44,心跳鯛魚/彩鯛,22660,11330
烤比目魚,焼きヒラメ,HP+40%，RP+40%，HP上限+10，力量+9，體力-1，會心一擊出現概率略微提升,6,36,比目魚,2440,1220
烤沙比目魚,焼き砂ヒラメ,HP+70%，RP-10%，HP上限+20%，力量+12%，體力+5，火、地屬性抗性+1,6,36,沙比目魚,200,100
烤河豚,焼きフグ,HP+60%，RP+50%，力量+8%，對毒的抗性大幅提高,6,56,河豚，解毒草，解毒草,37740,18870
烤毒虹鱒,焼きドクニジマス,HP+40%，RP+30%，HP上限+10%，RP上限-15%，力量+6%，體力+1,6,26,毒虹鱒,560,280
烤紅葉魚,焼き紅葉,HP+50%，RP+50%，力量+9，會心一擊出現概率略微提升,6,42,紅葉比目魚，蘿蔔,22620,11310
烤烏賊,焼きイカ,HP+25%，RP+25%，力量+4，體力+2,6,16,烏賊,280,140
烤閃光鯛魚,焼きカガヤキタイ,HP+60%，RP+50%，力量+12，體力+2，光屬性抗性+2,6,46,閃光鯛魚/銀鯛,47520,23760
烤斑烏賊,焼きジャマイカ,HP+35%，RP+35%，力量+8%，體力+6，智力+4%,6,47,斑烏賊/南國烏賊,37480,18740
烤螢烏賊,焼きフーイン,HP+50%，RP+70%，力量+12，體力-4，智力-3,6,43,螢烏賊，燈草,36580,18290
烤鯖魚/烤鮐魚,焼きサバ,HP+40%，RP+20%，力量+3，智力1,6,24,鯖魚/鮐魚,440,220
烤鯛魚,タイの焼きもの,HP+35%，RP+25%，HP上限+32%，力量+1，體力-2，會心一擊出現概率略微提升,6,37,鯛魚,1800,900
烤蘋果,焼きりんご,HP+35%，RP+30%，力量-12，智力+6，火、風屬性傷害減半,6,25,熱呼呼的果實，蘋果,14520,7260
烤鰈魚,焼きカレイ,HP+40%，RP+40%，RP上限+10%，力量+3，會心一擊出現概率略微提升,6,34,鰈魚,1240,620
