name,jpName,se,time,skillLv,item,buy,sell
餅乾/甜餅,クッキー,HP+15%，RP+40%，力量-12，智力+8,3,12,小麥粉，牛奶,1800,900
吐司,トースト,HP+55%，RP+20%，HP上限+50，力量+6，體力+4,6,14,麵包,1000,500
餅乾/甜餅,クッキー,HP+15%，RP+40%，力量-12，智力+8,3,15,小麥粉，優質牛奶,1800,900
餅乾/甜餅,クッキー,HP+15%，RP+40%，力量-12，智力+8,3,18,小麥粉，富鈣牛奶,1800,900
巧克力餅乾,チョコクッキー,HP+20%，RP+50%，力量-18，智力+16,3,22,巧克力，餅乾/甜餅，黃油,5320,2660
烤飯糰,焼きおにぎり,HP+75%,6,22,飯糰,360,180
烤蕃薯,焼きいも,HP+65%，RP+25%，HP上限+20%，RP上限+10%，體力+5，對吹飛的抗性略微提升,6,24,紅薯,600,300
烤玉米,焼きとうもろこし,HP+190，RP+35%，HP上限+100，RP上限+30,6,28,黃油，玉米,2760,1380
果醬麵包,ジャムパン,HP+60%，RP+40%，HP上限+80，治癒疲勞,6,32,草莓果醬，黃油麵包捲,10500,5250
果醬麵包,ジャムパン,HP+60%，RP+40%，HP上限+80，治癒疲勞,6,32,蘋果果醬，黃油麵包捲,10500,5250
果醬麵包,ジャムパン,HP+60%，RP+40%，HP上限+80，治癒疲勞,6,32,葡萄果醬，黃油麵包捲,10500,5250
果醬麵包,ジャムパン,HP+60%，RP+40%，HP上限+80，治癒疲勞,6,32,橘皮果醬，黃油麵包捲,10500,5250
黃油麵包捲,バターロール,HP+100，RP+40%，HP上限+60,6,36,小麥粉，黃油，蛋，牛奶,4780,2390
蘋果派/蘋果餡餅,アップルパイ,HP+60%，RP+60%，HP上限-25%，RP上限+14%，力量-10，智力+8，治癒疲勞,6,36,小麥粉，黃油，蜂蜜，蘋果，蘋果,6160,3080
黃油麵包捲,バターロール,HP+100，RP+40%，HP上限+60,6,38,小麥粉，黃油，優質蛋，優質牛奶,4780,2390
黃油麵包捲,バターロール,HP+100，RP+40%，HP上限+60,6,40,小麥粉，黃油，每天健康蛋，富鈣牛奶,4780,2390
披薩,ピザ,HP+50%，RP+60%，HP上限+25%，力量+2，體力+8，智力-12，對吹飛的抗性提升,12,44,番茄醬，茄子，小麥粉，洋蔥，奶酪，奶酪,19240,9620
紅薯點心,スイートポテト,HP+50%，RP+40%，HP上限+25%，RP上限+16%，智力+18%,6,44,紅薯，黃油，甘甜粉，優質牛奶,5540,2770
紅薯點心,スイートポテト,HP+50%，RP+40%，HP上限+25%，RP上限+16%，智力+18%,6,48,紅薯，黃油，甘甜粉，富鈣牛奶,5540,2770
海鮮披薩,シーフードピザ,HP+60%，RP+60%，HP上限+30%，力量+12，體力+4，智力-15,12,48,番茄醬，烏賊，小麥粉，蝦，奶酪，奶酪,20920,10460
奶汁烤菜,グラタン,HP+80%，RP+50%，HP上限+38%，RP上限+60，力量+8，體力+16，會心一擊出現概率略微提升,12,51,小麥粉，洋蔥，橙色草，奶酪，奶酪,10840,5420
多利亞/烤飯,ドリア,HP+70%，RP+40%，HP上限+50%，力量+4，體力+11，智力-8,12,51,黃油，黃瓜，米飯，洋蔥，優質牛奶,8360,4180
多利亞/烤飯,ドリア,HP+70%，RP+40%，HP上限+50%，力量+4，體力+11，智力-8,12,53,黃油，黃瓜，米飯，洋蔥，富鈣牛奶,8360,4180
海鮮奶汁烤菜,シーフードグラタン,HP+80%，RP+60%，HP上限+45%，RP上限+90，力量+17，體力+8，智力-20，會心一擊出現概率稍提升,12,53,洋蔥，蝦，小麥粉，烏賊，奶酪,14740,7370
海鮮多利亞/海鮮烤飯,シーフードドリア,HP+70%，RP+40%，HP上限+60%，力量+12，體力+12，智力-10,12,58,黃油，黃油，蝦，烏賊，米飯，奶酪,12400,6200
蛋糕,ケーキ,HP+70%，RP+85%，RP上限+30%，體力-12，智力15%，治癒除感冒以外的異常狀態,3,59,小麥粉，草莓，黃油，粉色貓咪，優質牛奶,8180,4090
蛋糕,ケーキ,HP+70%，RP+85%，RP上限+30%，體力-12，智力15%，治癒除感冒以外的異常狀態,3,60,小麥粉，草莓，黃油，粉色貓咪，富鈣牛奶,8180,4090
巧克力蛋糕,チョコレートケーキ,HP+80%，RP+90%，RP上限+40%，體力-15，智力+22%，治癒除感冒以外的異常狀態,3,62,小麥粉，黃油，巧克力，優質牛奶,6020,3010
巧克力蛋糕,チョコレートケーキ,HP+80%，RP+90%，RP上限+40%，體力-15，智力+22%，治癒除感冒以外的異常狀態,3,64,小麥粉，黃油，巧克力，富鈣牛奶,6020,3010
起司蛋糕/奶酪蛋糕,チーズケーキ,HP+90%，RP+95%，RP上限+50%，體力-16，智力+28%，治癒除感冒以外的異常狀態,3,68,小麥粉，小麥粉，奶酪，優質蛋,7880,3940
起司蛋糕/奶酪蛋糕,チーズケーキ,HP+90%，RP+95%，RP上限+50%，體力-16，智力+28%，治癒除感冒以外的異常狀態,3,72,小麥粉，小麥粉，奶酪，每天健康蛋,7880,3940
