name,jpName,season,day,crop,notion,buy,sell,getItem,sellStart
牧草種子,牧草の種,全,3,1,収穫するとモンスターのエサとなる牧草を手に入れることができる。連作が可能で、次の収穫まで1日かかる。,300,30,花屋,最初から
托伊藥草種子,トイハーブの種,春,2,,成長は早いが、デリケートな花で育てるのに苦労する。食べると疲労が回復する。,60,6,花屋,最初から
月落種子,ムーンドロップの種,春,7,,簡単に育てることができる花。,70,7,花屋,最初から
櫻色蕪菁種子,サクラカブの種,春,3,,キレイなピンク色をしたカブが育つ。育てやすいため入門の種として人気。,80,8,雜貨店,最初から
捲心菜種子,キャベツの種,春,6,,早く育ち、枯れにくいバランスがよい種。,100,10,雜貨店,最初から
洋蔥種子,タマネギの種,春,12,,簡単に栽培ができ、土を痛めにくい。,110,11,雜貨店,プリベラの森攻略後
櫻花草種子,サクラ草の種,春,6,,淡いピンクの花を咲かせる。,120,12,花屋,最初から
草莓種子,イチゴの種,春,9,2,甘い果実を実らせる。連作が可能で、次の実まで2日かかる。,260,26,雜貨店,プリベラの森攻略後
燈草種子,ランプ草の種,春,18,,長い時間をかけて育てていく。主に薬の材量となる。,480,48,花屋,インヴァエル川攻略後
藍水晶種子,青水晶の種,春,16,,時間をかけて育てていく。青い結晶のような種。,700,70,花屋,インヴァエル川攻略後
金剛花種子,金剛花の種,春,27,,長い時間をかけて育てていく。かなり枯れにくいため、根気さえあれば誰にでも育てられる。,1000,100,花屋,インヴァエル川攻略後
粉色貓咪種子,ピンクキャットの種,夏,4,,夏にまくことができる。育ちが早く簡単に育てることができる花。やや枯れやすい。,50,5,花屋,最初から
黃瓜種子,キュウリの種,夏,6,2,連作が可能で、次の実まで2日かかる。,80,8,雜貨店,最初から
玉米種子,トウモロコシの種,夏,13,2,育ちきるまで時間がかかる。連作が可能で、次の実まで2日かかる。,130,13,雜貨店,プリベラの森攻略後
番茄種子,トマトの種,夏,11,1,栄養価の高いトマトができる。連作が可能で、次の実まで1日かかる。,140,14,雜貨店,最初から
茄子種子,ナスの種,夏,9,2,連作が可能で、次の実まで2日かかる。,160,16,雜貨店,ソル・テラーノ砂漠攻略後
南瓜種子,カボチャの種,夏,10,,夏にまくことができる大きめの野菜。成長日數も枯れにくさもバランスがいい。,220,22,雜貨店,プリベラの森攻略後
野之花火種子,野之花火の種,夏,6,,火薬のような黒い種。,260,26,花屋,最初から
三葉草種子,クローバーの種,夏,10,,幸せを運ぶ幸運のタネ。とても枯れやすい。,390,39,花屋,インヴァエル川攻略後
鐵千輪種子,鉄千輪の種,夏,25,,長い時間をかけて育てていく。地中の鉄を集める特殊な性質がある。,420,42,花屋,インヴァエル川攻略後
綠水晶種子,緑水晶の種,夏,16,,時間をかけて育てていく。緑の結晶のような種。,700,70,花屋,インヴァエル川攻略後
魅藍草種子,チャームブルーの種,秋,6,,成長日數、枯れやすさ共にバランスが良いため育てやすい。,40,4,花屋,最初から
菠菜種子,ホウレン草の種,秋,2,,すぐに育つが、とても枯れやすい。水は毎日欠かさずあげよう。,60,6,雜貨店,プリベラの森攻略後
蕃薯種子,サツマイモの種,秋,6,1,連作が可能で、次の実まで1日かかる。枯れにくいため、忙しくて毎日見れなくても実まで育てることができる。,80,8,雜貨店,プリベラの森攻略後
馬鈴薯種子,ジャガイモの種,秋,3,,意外にキレイな花を咲かせる。,90,9,雜貨店,最初から
胡蘿蔔種子,ニンジンの種,秋,8,,バランスのよ良い秋野菜。,100,10,雜貨店,最初から
青椒種子,ピーマンの種,秋,9,1,栄養価の高い野菜。連作が可能で、次の実まで1日かかる。,150,15,雜貨店,ソル・テラーノ砂漠攻略後
花紅葉種子,花紅葉の種,秋,15,,時間をかけて育てていく。赤味のかかっただえんの種。,440,44,花屋,インヴァエル川攻略後
劇毒蒲公英種子,タンポイズンの種,秋,22,,長い時間をかけて育てていく。白くてやわらかい種。,510,51,花屋,インヴァエル川攻略後
赤水晶種子,赤水晶の種,秋,16,,時間をかけて育てていく。赤い結晶のような種。,700,70,花屋,インヴァエル川攻略後
大蔥種子,ネギの種,冬,6,,育てやすい冬の作物。少し枯れやすい。,120,12,雜貨店,最初から
蕪菁種子,カブの種,冬,3,,初心者にもおすすめのお手軽な野菜。,130,13,雜貨店,最初から
蘿蔔種子,大根の種,冬,7,,成長日數、枯れやすさともバランスがいい。,160,16,雜貨店,プリベラの森攻略後
白菜種子,白菜の種,冬,12,,育つまでに少し時間がかかる。,200,20,雜貨店,プリベラの森攻略後
樹形草種子,ツリー草の種,冬,24,,長い時間をかけて育てていく。かなり枯れにくい。,330,33,花屋,インヴァエル川攻略後
火熱種子,ほかほかの種,冬,18,,実になるまでにちょっぴり時間がかかるが枯れにくいので育てやすい。,470,47,雜貨店,ソル・テラーノ砂漠攻略後
白水晶種子,白水晶の種,冬,16,,時間をかけて育てていく。白い結晶のような種。,700,70,花屋,インヴァエル川攻略後
金南瓜種子,金のカボチャの種,,15,,ゴージャスな金色のカボチャができる。,190,19,,
金蕪菁種子,金のカブの種,,5,,ゴージャスな金色のカブができる。,210,21,,
金捲心菜種子,金のキャベツの種,,14,,ゴージャスな金色のキャベツができる。,230,23,,
金馬鈴薯種子,金のジャガイモの種,,6,,ゴージャスな金色のジャガイモができる。,250,25,,
鳳梨種子,パイナップルの種,,14,3,育てるのに少し時間のかかる作物。連作が可能で、次の実まで3日かかる。,300,30,,
少女甜瓜種子,オトメロンの種,,7,,乙女の甘酸っぱい力をあびてなんともかわいらしい種が誕生した。,620,62,雜貨店,ソル・テラーノ砂漠攻略後
