name,jpName,se,notion,buy,sell
白水晶,白水晶,HP回復+20%，RP回復+15%，3時間,ルーンの結晶が地中に集まってできた花。季節で花の色が違い、冬は白い花が開く。,49000,7000
赤水晶,赤水晶,HP回復+20%，RP回復+15%，3時間,ルーンの結晶が地中に集まってできた花。季節で花の色が違い、秋は赤い花が開く。,49000,7000
劇毒蒲公英,タンポイズン,RP回復+15%,中心に白く小さい綿のような花が咲く。綿はかわいく見えても毒を持つので注意。息を軽く吹きかけると、花が風に乗って空を舞うので、さらに危険。,46200,6600
花紅葉,花紅葉,RP回復+15%，HP上限+5%,鮮やかな色の花を咲かせる草。花がまるで紅葉してるように見えるため花紅葉と呼ばれるようになった。,37800,5400
樹形草,ツリー草,RP回復+15%，體力+12，3時間,草なのに木の形をした草。冬になると、ツリー草に飾りつけをしてテーブルの上にも置いたりする。,29547,4221
綠水晶,緑水晶,HP回復+20%，RP回復+15%，3時間,ルーンの結晶が地中に集まってできた花。季節で花の色が違い、夏は緑の花が開く。,49000,7000
野之花火,野之花火,RP回復+15%，力量+10%，3時間,花の形がとても特徴的。『野山に咲く花火』として親しまれている。耳をすませば花火の音が。,8400,1200
四葉三葉草,四つ葉のクローバー,RP回復+15%，3時間,幸せのラッキーアイテム。持っていてもハッピー。プレゼントとしてもハッピーで、ハッピッピー。,14700,2100
鐵千輪,鉄千輪,HP回復-25%，RP回復+15%，力量+12，體力-4，3時間,とげとげの形をした草。中心にある草が、地中の鉄分を集め特徴的な形狀を作り出す。,38500,5500
金剛花,金剛花,HP回復+50%，RP回復+15%，體力+15，3時間,すべてが金色の花。とても頑丈な花で、枯れにくい。見た目通り硬く、転んだ先に生えていると痛い思いをする。,89600,12800
青水晶,青水晶,HP回復+20%，RP回復+15%，3時間,ルーンの結晶が地中に集まってできた花。季節で花の色が違い、春は青の花が開く。,49000,7000
燈草,ランプ草,HP回復+10%，RP回復+15%，3時間,つぼみの中には、輝く粉がつまっている。見ていると、とても落ち著いた気分になり、リラックスさせる効果があるのかも。,32060,4580
櫻花草,サクラ草,RP回復+15%，3時間,ピンクの花をつける植物。春の風物詩。,6020,860
枯草,枯草,RP回復-50%,食べると毒になってしまう枯れた草。枯草と一緒に耕すと、土質が良くなる。後に枯草は、こう語っているという。「枯れたとしても、私には未來がある」と。,8,1
雜草,雑草,HP回復-5,どこにでもいつでもどんな時も。いつもはきらわれ者だけど、強く生きるその姿勢に心打たれた人も多いとか。,10,1
白草,白い草,HP回復+3，PR回復+3,うつくしい純白の草。雪とまざって見つけにくいため、気がつかない人も多い。はかなくも気高い草。,90,5
藍草,藍の草,HP回復+3，PR回復+3,見ているとなぜか落ち著く草。ケンカをしている人たちの足元に、ひっそりと生え、仲直りさせたという伝説がある。,30,5
紫草,紫の草,HP回復+3，PR回復+3,上品な草。色草の中でも、プライドが高く、お上品。それゆえか、他の草とは仲が悪い。,30,5
綠草,緑の草,HP回復+3，PR回復+3,グリーンな草、つまり普通の草。色草の中でも個性がないと言われ続け、そんな自分を変えようと努力している。,30,5
青草,青い草,HP回復+3，PR回復+3,クールな草。さわると少しひんやりとしている。落ち著く効果があると言われ、薬品などにも使われる。,30,5
黃草,黃の草,HP回復+3，PR回復+3,幸運を呼ぶと言われている草。主に金運がアップするとして、お守りかわりに持つ人もいる。,30,5
紅草,赤い草,HP回復+3，PR回復+3,じょうねつの草。昔から赤色は成長を早める効果があると言われていて、他の草より早く育つ。,30,5
太陽草,だいだい草,HP回復+3，PR回復+3,夏の太陽を思わせる草。そのまぶしく鮮やかな色は、見ているだけでも元気になれる。,30,5
黑草,黒い草,HP回復+3，PR回復+3,あやしく黒光りする草。夜になると、どこにあるかわからなくなってしまうため、よく踏まれてしまう。,90,5
解毒草,毒消し草,HP回復+5,體中の毒を浄化する草。とても苦い。苦くて「ぐえ」となるが、食べると毒が治る。背に腹は変えられない。,60,6
藥草,薬草,HP回復+20,野生する薬草。苦くて「うえ」となるが、食べると回復する。どっちを取るかはあなた次第。,80,8
魅藍草,チャームブルー,HP回復+5%，RP回復+15%，3時間,深い青色をした草。つぼみがとても大きく、色とあわせて、吸い込まれてしまいそうになる。,2240,320
粉色貓咪,ピンクキャット,HP回復+6%，RP回復+15%，3時間,鮮やかなピンク色の草。つぼみが小さく、かわいらしいため、「キャット」の名で呼ばれるようになった。,1890,270
月落草,ムーンドロップ,RP回復+15%，智力+6%，3時間,月明かりで育つ不思議な草。月から零れ落ちてきたかのような美しい黃色い花が咲く。,4200,600
托伊藥草,トイハーブ,HP回復+2%，RP回復+15%，3時間,健康にいいとされる薬味。育てるのが少し大変。食べると疲労を治す。,1260,180
