name,jpName,se,time,skillLv,item,buy,sell
大肥金槍魚,大トロ,HP+50%，RP+50%，HP上限+40%，力量+20%，體力-12,3,43,金槍魚,31440,15720
心跳刺身,トキメクおさしみ,HP+50%，RP+60%，力量+13，體力+12，受到會心一擊概率降低,3,39,心跳鯛魚/彩鯛,21900,10950
比目魚刺身,ヒラメのおさしみ,HP+45%，RP+60%，HP上限+20，力量+9，體力-4,3,31,比目魚,2360,1180
河豚刺身,フグさし,HP+50%，RP+70%，大幅提升對毒的抗性,3,51,河豚,31520,15760
秋刀魚刺身,サンマのおさしみ,HP+30%，RP+30%，HP上限+10%，力量+2，智力-1，對封印抗性略微提升,3,18,秋刀魚,140,70
紅葉魚刺身,色づくおさしみ,HP+40%，RP+55%，HP上限+20%，力量+18，體力-15,3,37,紅葉魚,17860,8930
虹色魚刺身,ドクニジマスさし,HP+30%，RP+30%，HP上限+10，力量+12%，體力+1,3,21,毒虹鱒魚/虹色魚,540,270
哲羅魚刺身,イトウのおさしみ,HP+40%，RP+30%，力量+18%,3,40,哲羅魚,33860,16930
烏賊刺身,イカさし,HP+20%，RP+30%，力量+1，體力+4,3,9,烏賊,260,130
真鱒魚刺身,ヤマメのおさしみ,HP+15%，RP+10%，力量+2，智力-1，會心一擊出現率稍微提升,3,18,真鱒魚,240,120
針魚刺身,サヨリのおさしみ,HP+25%，RP+25%，力量+4，智力+1,3,22,針魚,280,140
閃光刺身,カガヤクおさしみ,HP+60%，RP+40%，力量+28，體力-10，光耐性+2，大幅減少光屬性傷害,3,41,閃光鯛魚/銀鯛,45920,22960
斑烏賊刺身,ジャマイカさし,HP+30%，RP+45%，力量+12%，體力+10,3,42,斑烏賊/南國烏賊,36240,18120
斑鲅魚刺身,メジナのおさしみ,HP+25%，RP+30%,3,25,斑鲅魚,380,190
蝦肉刺身,エビのおさしみ,HP+40%，RP+20%，力量-5%，智力+7%,3,17,蝦,580,290
螢烏賊刺身,フーインイカさし,HP+20%，RP+60%，力量+8，體力+2，智力-5,3,38,螢烏賊,15380,7690
龍蝦刺身,ロブスターのおさしみ,HP+50%，RP+25%，力量-4%，智力+12%,3,29,龍蝦,1560,780
鮭魚刺身,サケのおさしみ,HP+40%，RP+30%，HP上限+20%，力量+5，體力-15,3,25,鮭魚,560,280
鯛魚刺身,タイのおさしみ,HP+45%，RP+30%，HP上限+15%，力量+2，體力+4，會心一擊出現率略微提升，容易受到會心一擊,3,32,鯛魚,1740,870
鰈魚刺身,カレイのおさしみ,HP+60%，RP+45%，RP上限+20，力量+6，智力-2,3,29,鰈魚,1200,600
鰤魚刺身,ブリのおさしみ,HP+60%，RP+30%，力量+8，體力+6,3,35,鰤魚,23840,11920
沙丁魚刺身,イワシのおさしみ,HP+10%，RP+15%，會心一擊出現率提升,3,15,沙丁魚,440,220
鰹魚刺身,カツオのおさしみ,HP+40%，RP+40%，力量+6%，體力-2，會心一擊出現率提升,3,28,鰹魚,1480,740
巖魚刺身,イワナのおさしみ,HP+25%，RP+15%，力量+4，體力-1，智力-1,3,15,巖魚,640,320
鱒魚刺身/天魚刺身,アマゴのおさしみ,HP+20%，RP+10%，力量+3，智力-2,3,12,鱒魚/天魚,200,100
