name,jpName,se,time,skillLv,item,buy,sell
丸子,だんご,HP+30%，RP+30%，筋力-2 體力+4，治癒中毒，受到會心一擊的概率大幅降低,6,11,糰子/丸子粉,120,60
中華包子,中華まん,HP+60%，RP+50%，HP上限+60，筋力-1，體力+8，對所有異常狀態的抗性稍提升,6,30,小麥粉＋竹筍＋胡蘿蔔＋混合香料,23640,11820
布丁,プリン,HP+40%，RP+80%，HP上限-20% 體力+10 知力+8%，治癒疲勞和感冒，對所有異常狀態的抗性稍提升,3,31,蛋,1100,550
布丁,プリン,HP+40%，RP+80%，HP上限-20% 體力+10 知力+8%，治癒疲勞和感冒，對所有異常狀態的抗性稍提升,3,33,優質蛋,1100,550
蒸麵包,むしパン,HP+40%，RP+45%，HP上限+80，筋力-5，體力+2，對所有異常狀態的抗性略微提升,6,33,小麥粉＋蜂蜜＋蛋,4640,2320
咖喱包子,カレーまん,HP+50%，RP+40%，筋力+7，體力+8，知力-14，對所有異常狀態的抗性稍提升,6,34,小麥粉＋胡蘿蔔＋咖喱粉＋竹筍,3520,1760
布丁,プリン,HP+40%，RP+80%，HP上限-20% 體力+10 知力+8%，治癒疲勞和感冒，對所有異常狀態的抗性稍提升,3,35,每天健康蛋,1100,550
蒸麵包,むしパン,HP+40%，RP+45%，HP上限+80，筋力-5，體力+2，對所有異常狀態的抗性略微提升,6,36,小麥粉＋蜂蜜＋優質蛋,4640,2320
蒸麵包,むしパン,HP+40%，RP+45%，HP上限+80，筋力-5，體力+2，對所有異常狀態的抗性略微提升,6,39,小麥粉＋蜂蜜＋每天健康蛋,4640,2320
蒸蛋糕,むしケーキ,HP+50%，RP+50%，筋力-5%，體力+4 知力+7，治癒疲勞，對所有異常狀態的抗性稍提升,6,41,小麥粉＋蜂蜜＋牛奶,4820,2410
蒸蛋糕,むしケーキ,HP+50%，RP+50%，筋力-5%，體力+4 知力+7，治癒疲勞，對所有異常狀態的抗性稍提升,6,42,小麥粉＋蜂蜜＋優質牛奶,4820,2410
蒸蛋糕,むしケーキ,HP+50%，RP+50%，筋力-5%，體力+4 知力+7，治癒疲勞，對所有異常狀態的抗性稍提升,6,43,小麥粉＋蜂蜜＋富鈣牛奶,4820,2410
南瓜布丁,かぼちゃプリン,HP+60%，RP+80%，HP上限+15%，體力+12，知力+6%，對所有異常狀態的抗性稍提升,3,44,蜂蜜＋南瓜＋黃草＋優質蛋,9640,4820
蒸餃,むしぎょうざ,HP+50%，RP+40%，HP上限+20%，筋力-16%，體力+12，對所有異常狀態的抗性稍提升,3,45,小麥粉＋油＋洋蔥＋捲心菜,7580,3790
奶酪蒸麵包,チーズむしパン,HP+50%，RP+60%，HP上限+18%，筋力-2，體力+15 知力+4，對所有異常狀態的抗性稍提升,3,45,小麥粉＋蜂蜜＋奶酪,6140,3070
南瓜布丁,かぼちゃプリン,HP+60%，RP+80%，HP上限+15% 體力+12 知力+6%，對所有異常狀態的抗性稍提升,3,48,蜂蜜＋南瓜＋黃草＋每天健康蛋,9640,4820
蒸雞蛋糕/蒸鬆糕,むしカステラ,HP+50%，RP+50%，HP上限+30%，體力+18，對所有異常狀態的抗性提升,6,48,小麥粉＋蛋,2300,1150
燒賣,しゅうまい,HP+25%，RP+35%，HP上限+22%，筋力-14%，體力+15 知力+8%，對封印的抗性提升，對其它異常狀態抗性略微提升,6,49,小麥粉＋捲心菜＋綠草＋蝦＋洋蔥,10220,5110
蒸雞蛋糕/蒸鬆糕,むしカステラ,HP+50%，RP+50%，HP上限+30%，體力+18，對所有異常狀態的抗性提升,6,51,小麥粉＋優質蛋,2300,1150
蒸雞蛋糕/蒸鬆糕,むしカステラ,HP+50%，RP+50%，HP上限+30%，體力+18，對所有異常狀態的抗性提升,6,54,小麥粉＋每天健康蛋,2300,1150
