name,jpName,se,notion,buy,sell
蘑菇,きのこ,HP回復+100%，RP回復+50%，風邪,その辺りに生えていたきのこ。食べても大丈夫かどうかは君の身體のみが知る。,100,10
蘑菇,きのこ,HP回復+100%，RP回復+50%，眠り,その辺りに生えていたきのこ。食べても大丈夫かどうかは君の身體のみが知る。,100,10
蘑菇,きのこ,HP回復+100，RP回復+50，マヒ,その辺りに生えていたきのこ。食べても大丈夫かどうかは君の身體のみが知る。,100,10
蘑菇,きのこ,HP回復+100，RP回復+50，毒,その辺りに生えていたきのこ。食べても大丈夫かどうかは君の身體のみが知る。,100,10
蘑菇,きのこ,HP回復+100%，RP回復+50%,その辺りに生えていたきのこ。食べても大丈夫かどうかは君の身體のみが知る。,100,10
蘑菇,きのこ,HP回復+100，RP回復+50，狀態異常回復,その辺りに生えていたきのこ。食べても大丈夫かどうかは君の身體のみが知る。,100,10
金蕪菁,金のカブ,HP回復+30，RP回復+10，RP+20，力量-8，智力+7,世にも珍しい金色の野菜。自分の髪の毛と同じ色のカブが欲しい、というリクエストによって作られたという。,7000,1400
金馬鈴薯,金のジャガイモ,HP回復+15，RP回復+25，力量+3，體力+3，智力+2,世にも珍しい金色の野菜。地面に埋まっていても光がもれているため場所がわかりやすい。,9500,1900
金南瓜,金のカボチャ,HP回復+70，HP上限+30，體力+6,世にも珍しい金色の野菜。飾りつけをしなくてもくりぬくだけで、十分お化けに見えてしまう。,16500,3300
金捲心菜,金のキャベツ,HP回復+50，HP上限+50，體力+6，3時間,世にも珍しい金色の野菜。突然、ふしぎな力がわいてきて変色した。甘さも數倍パワーアップ！,19000,3800
竹筍,タケノコ,HP回復+5，RP回復+15，HP上限+3，RP上限+3，力量+1，智力+1，3時間,コリコリした食感と香ばしい味の野菜。成長が早く、春にはたくさんのタケノコが畑に芽を出す。芽が非常に強く、石をも突き破る。,300,12
火熱果實,ほかほかの実,HP回復+50，RP回復+50，體力+8，智力-4，3時間,毛に包まれたような野菜。一部の地方では、お風呂を沸かすときほかほかの実を使用するという。火屬性のダメージを半減する。,24000,4800
白菜,白菜,HP回復+15，RP回復+30，體力+5，智力-2，3時間,冬に旬を迎える野菜。寒ければ寒いほど甘みを出す。という、逆境をバネにする気合の持ち主。,5400,1350
大蔥,ネギ,HP回復+5，RP回復+10，力量+2，3時間,冬の汁物にはかかせない野菜。「コケホッホーがネギしょってきた」ということわざがある。,1500,500
蘿蔔,大根,HP回復+5，RP回復+20，3時間,白くて太いセクシーな野菜。味にクセがないため、色々な場面にさりげなく登場して、みんなを安心させる。,2310,770
蕪菁,カブ,HP回復+10，RP回復+5，力量-2，智力+3，3時間,言わずと知れた牧場の王道。王者への道はきびしく、數々の試練を様々なテクニックで乗り越えてきた。,1260,420
菠菜,ホウレン草,HP回復+5，RP回復+10，HP上限+3，力量+3，體力+1，智力-2，3時間,濃い緑色に豊富な栄養を含んだ野菜。缶詰になったものを食べると強くて元気になる伝説がある。,340,140
青椒,ピーマン,RP回復+15，RP上限+10，3時間,苦味があるため、嫌われがちなピーマン。実はとてもさびしがり屋で、そんな事実に影でこっそり泣いている。俺だって本當はおいしいんだ。,930,310
胡蘿蔔,ニンジン,RP回復+15，3時間,オレンジ色で細長い野菜。目の前にぶらさげると突進力が大幅にアップすると言われている。,1770,590
馬鈴薯,ジャガイモ,HP回復+5，RP回復+5，3時間,広く親しまれている野菜。さまざまな料理に使われ、主食から前菜まで幅広く活躍するが、控えめに「そんなことないッス」と否定している。,840,280
蕃薯,サツマイモ,HP上限+10，體力+5，3時間,別名「ミスターおなら」食物繊維を多く含み、お腹の中をキレイにしてくれる野菜。,440,40
茄子,ナス,HP回復+15，RP回復+10，體力+5，3時間,紫のニヒルボーイと言ったらこいつのこと。ふにゃっとしたヘタがかわいいが、考えていることはずっと大人。,1040,480
番茄,トマト,HP回復+15，RP回復+10，3時間,輝く赤が夏の太陽を思わせる。栄養価がとても高く、健康にも良い。生食する場合は、主に冷やして食べる。ぜひ冬に食べてみよう、何もないけど。,900,300
玉米,トウモロコシ,HP回復+25，RP回復+10，HP上限+10，RP上限+10，3時間,黃色く小さい実がぎっしりとつまった野菜。一粒一粒もトウモロコシで、しばしばどこから食べられるべきか、ケンカする。,1320,440
黃瓜,キュウリ,HP回復+10，RP回復+10，HP上限+5，RP上限+10，3時間,カリっと歯ごたえがナイスガイ。水分を多く含むため、冷靜になろうよ、という意味で「キューリにいこうぜ」と言う。キューリに行こうぜ？,720,180
南瓜,カボチャ,HP回復+50，HP上限+30，體力+3，3時間,黃色い野菜に栄養がたくさんつまった野菜。秋のお祭りでは中身をくり抜き、お化けへの変身グッズになる。,4960,1240
洋蔥,タマネギ,HP回復+20，RP回復+30，HP上限+5，3時間,生では、ツンとした辛味、加熱すればほどよく甘い忙しいお野菜。辛かったり甘かったり、切る時涙したり、別にあんたのためじゃないんだからね。,3120,780
少女甜瓜,オトメロン,HP回復+50，RP回復+30，HP上限+5，3時間,乙女パワーを十分にあびた、ピンク色のかわいいかわいいメロン。もちろん味も乙女の保証付き。オトメ星雲より乙女パワーがふりそそぐ！,12600,4200
櫻色蕪菁,サクラカブ,HP回復+5，RP回復+5，3時間,キレイなピンク色のカブ。地方の違いで白いカブしか育たなかったがある少女の努力により、改良に成功した。,400,200
捲心菜,キャベツ,HP回復+10，HP上限+10，體力+2，3時間,生、焼、煮と、バランスの良い野菜。食前でも食中でも食後でも活躍する。胃の調子を整える効果がある。食べすぎにはキャベツ。,1920,480
