name,jpName,se,time,skillLv,item,buy,sell
大學芋,大學いも,HP+35%，RP+50%，HP上限+15%，體力+5，智力+6,6,39,紅薯，甘甜粉,1380,690
天婦羅烏冬面,天ぷらうどん,HP+80%，RP+80%，HP上限+60%，力量+6，體力+19，智力+6,12,37,天婦羅，烏冬/湯麵，酸味料,73700,36850
天婦羅飯/天蓋飯,天どん,HP+50%，RP+70%，HP上限+25%，RP上限+10%,12,34,米飯，天婦羅，酸味料,20600,10300
水煮巖石魚,巖石魚の煮付け,HP+50%，RP+40%，力量-11，體力+15，治療麻痹，火、地屬性傷害減半,3,41,巖石魚，白菜,5080,2540
水餃,水ぎょうざ,HP+30%，RP+50%，HP上限-25，力量+4，體力+2，智力+2,3,26,小麥粉，菠菜，捲心菜,3020,1510
火鍋,寄せ鍋,HP+80%，RP+80%，HP上限+20%，力量+9，體力+8，智力+4,12,58,蘿蔔，大蔥，白菜，白菜，火熱果實,36880,18440
牛奶粥,牛乳がゆ,HP+70%，RP+60%，治癒疲勞和感冒，對疲勞和感冒的抗性提升,12,42,米飯，牛奶,1600,800
牛奶粥,牛乳がゆ,HP+70%，RP+60%，治癒疲勞和感冒，對疲勞和感冒的抗性提升,12,44,米飯，優質牛奶,1600,800
牛奶粥,牛乳がゆ,HP+70%，RP+60%，治癒疲勞和感冒，對疲勞和感冒的抗性提升,12,46,米飯，富鈣牛奶,1600,800
奶酪火鍋/乾酪鍋,チーズフォンデュ,HP+45%，RP+45%，HP上限+40%，力量+5，體力+5，智力+6,6,47,麵包，奶酪，奶酪，奶酪，奶酪,13960,6980
至高咖喱,至高のカレー,HP+80%，75%，力量+38，火屬性抗性+2,12,85,魔法師之粉，蘋果，蜂蜜，咖喱粉，混合香料，混合香料,35860,17930
究極咖喱,究極のカレー,HP+70%，RP+50%，HP上限-8%，RP上限-8%，力量+24，體力+9，火屬性傷害減半,12,70,紅酒，惡魔之血，蟲皮，咖喱粉，重口味調料,7140,3570
咖喱湯麵,カレーうどん,HP+70%，RP+70%，HP上限+45%，力量+12，體力+15,12,33,小麥粉，咖喱粉，櫻色蕪菁，胡蘿蔔,4200,2100
咖喱飯,カレーライス,HP+50%，RP+25%，HP上限-10%，RP上限-10%，力量+12，火屬性抗性+1,12,55,米飯，胡蘿蔔，咖喱粉，紅草，重口味調料,3440,1720
放鬆茶,リラックスティー,HP+50%，RP+80%，RP上限+60%，治療感冒以外的一切異常狀態，對所有異常狀態的抗性提升,3,64,放鬆茶葉，蜂蜜，少女甜瓜，大蔥,23400,11700
烏冬/湯麵,うどん,HP+60%，RP+60%，HP上限+30%,12,29,櫻色蕪菁，胡蘿蔔，小麥粉，混合香料,24200,12100
草莓果醬,いちごジャム,HP+30%，RP+40%，力量-4%，智力+16%,3,25,草莓，草莓，草莓,1760,880
涼拌菜,おひたし,HP+20%，RP+20%，RP上限+20，力量+1，體力+1，智力-5,3,14,菠菜,440,220
蛋蓋飯,たまごどん,HP+60%，RP+80%，HP上限+120，力量-8，體力+2,12,32,米飯，洋蔥，蛋,4340,2170
蛋蓋飯,たまごどん,HP+60%，RP+80%，HP上限+120，力量-8，體力+2,12,35,米飯，洋蔥，優質蛋,4340,2170
蛋蓋飯,たまごどん,HP+60%，RP+80%，HP上限+120，力量-8，體力+2,12,38,米飯，洋蔥，每天健康蛋,4340,2170
煮南瓜,かぼちゃの煮つけ,HP+40%，RP+45%，HP上限+100，體力+8，智力-2,6,35,南瓜,3640,1820
煮雞蛋,ゆでタマゴ,HP+120，RP+25%，HP上限+25，力量+2，對封印的抗性稍提升,3,13,蛋,940,470
煮雞蛋,ゆでタマゴ,HP+120，RP+25%，HP上限+25，力量+2，對封印的抗性稍提升,3,14,優質蛋,940,470
