name,jpName,attr,atk,sp,se,notion,skillLv,item1,item2,item3,item4,item5,item6,buy,sell
長槍,スピア,,7,防禦+2,,,6,鐵,木材,,,,,900,110
騎士長槍,ランス,,14,防禦+5,,,8,長槍,鐵,鐵,,,,1480,320
木棒,こんぼう,,19,防禦+8,,,14,木材,木材,結實的藤,結實的藤,,,3030,750
騎士長槍改,ランス改,,27,防禦+10 魔攻+5,,,17,騎士長槍,銅,銅,,,,3850,810
針槍,ニードルスピア,,41,防禦+8,,,20,長槍,銅,豹爪,,,,4460,900
水之槍,ウォータースピア,水,52,魔攻+30 魔防+5,,,21,長槍,銅,銅,海盜哥布林的布,,,5770,1010
斬斧,ハルバード,,61,防禦+12,,,23,長槍,鐵,鐵,銀,,,7440,1540
投擲叉子,ピッチフォーク,,68,防禦+18,,,25,長槍,牧草,牧草,,,,8280,780
三刃長槍,コルセスカ,,79,防禦+15,,,27,長槍,銀,銀,鬥牛之角,,,9080,2680
劇毒長槍,ポイズンスピア,,88,防禦+5,,,29,長槍,銀,蘑菇孢子,骨膠,,,9800,2820
三刃長槍改,コルセスカ改,,105,防禦+20 魔攻+25,,,32,三刃長槍,銀,銀,鬥牛之角,,,11000,2800
看起來不痛的槍,痛くなさそうな槍,,105,防禦+25 魔攻+25,,,32,木棒,軟綿綿綿,,,,,10560,2000
重騎士槍,ヘヴィランス,,113,防禦+25,,,34,長槍,銀,龜殼,龜殼,,,12700,3160
魔法長槍,マジカルランス,,123,魔攻+120 魔防+15,,,36,長槍,銀,紫水晶,綠寶石,海藍寶石,紅寶石,16720,7400
羽毛長槍,フェザーランス,風,129,防禦+25 魔攻+60,,,39,長槍,金,鳥之羽,鳥之羽,鳥之羽,,20970,5570
火焰長槍,フレアランス,火,140,防禦+25 魔攻+70,,,43,長槍,銀,火之結晶,射手的火藥,,,21640,5500
猛毒女王,ポイズンクイーン,,148,防禦+5,,,45,長槍,蘑菇孢子,植物莖,蝎子的鉗子,植物根,魔法師之粉,22850,5800
伊賽貝克,イセベルク,水,159,防禦+25，魔攻+80,,,47,長槍,金,金,水之結晶,龜殼,,25110,6650
貫穿者,ブリューナク,光,172,防禦+25，魔攻+85,,,49,長槍,銀,金,光之結晶,鬥牛之角,,27670,6870
鳳梨棒,パイナ棒,地,160,魔攻+80,容易令對手氣絕,,50,菠蘿,,,,,,21840,4450
五節棍,五節棍,,180,防禦+30,攻擊射程長,,53,長槍,植物根,維京護肩,狼牙,狼牙,狼牙,31660,7670
血之長槍,ブラッドランス,暗,192,防禦+25，魔攻+120,,,55,長槍,金,蘑菇孢子,浮游靈的頭巾,魔法師之粉,魔法師之粉,36860,7880
金箍棒,如意棒,地,198,防禦+25，魔攻+100,伸びる,,62,木棒,戰士之證,壞掉的木箱,上質的毛皮,,,41400,8970
三叉戟,トライデント,,215,防禦+30,,,67,長槍,銀,金,白金,白金,,52660,12450
梅托斯,メトゥス,暗,235,魔攻+130,,,74,長槍,金,白金,維京護肩,浮游靈的頭巾,,125500,13490
沉默墓碑,サイレントグレイブ,,258,防禦+35,攻擊時，附加封印效果,,76,長槍,白金,白金,狼牙,狼牙,,170200,14270
破壞之王,オーバーブレイク,,287,防禦+50，魔攻+120,,,81,長槍,金,金,白金,戰士之證,絲綢,270350,15410
猛毒長槍,ピオール,暗,302,防禦+25，魔攻+150，毒+38，マヒ+38，風邪+38,各種效果(毒、麻痹、病),,86,長槍,針槍,射手的火藥,蝎子的尾巴,昆蟲的下顎,毒粉,322000,17400
貝爾巴羅斯,ベルヴァロース,,319,防禦+60，魔攻+75，気絶+16,運用自如的話容易令對手氣絕,,89,長槍,金,白金,白金,魔人之角,骷髏,399500,19840
死翔槍,ゲイボルグ,,335,防禦+85 魔攻+120,,,92,長槍,白金,白金,鬥牛之角,龍牙,龍骨,502200,20160
龍牙,竜の牙,,347,防禦+50 魔攻+140 魔防+50,容易使出會心一擊,,95,長槍,絲綢,龍牙,龍牙,龍牙,龍牙,607840,22050
奧丁神槍,グングニル,風,361,防禦+75 魔攻+215,,,97,魔人之角,白金,結實的藤,蝎子的鉗子,惡魔之血,毒粉,797300,32500
刃靈,レギオン,,380,防禦+30 魔攻+180,,,98,長槍,鑽石,浮游靈的頭巾,浮游靈的頭巾,龍牙,水龍的羽鰭,920380,37000
