name,jpName,attr,atk,sp,se,notion,skillLv,item1,item2,item3,item4,item5,item6,buy,sell
戰鬥錘,バトルハンマー,,10,,,相手を吹き飛ばすのに最適な武器。日ごろのうっぷんも一緒に吹き飛ばすと、威力が上がる。ハンマーは基本的に気絶させやすい設計。,7,鐵,鐵,鐵,鐵,鐵,,1400,380
球棒,カッキーン,,36,,容易垂飛對手,競技用の木の棒。どうやって使うのかは、よくわからないがなぜか球が來ると打ち返したくなる。相手を吹き飛ばしやすい。,13,獸人的破布,海盜哥布林的布,木材,,,,2750,410
重錘,ウォーハンマー,,46,,,見た目よりも重量感たっぷり。腰への負擔が大きいのでぎっくり腰に要注意。,15,戰鬥錘,鐵,銅,銅,,,3720,1680
力石,力石,,58,,,大きな金屬の塊を、刃のパーツで繋ぎ合わせた武器。重量によって勢いが増すため、高い攻撃力を維持することができる。,19,戰鬥錘,鐵,鐵,銅,銅,銅,5210,2120
重錘改,ウォーハンマー改,,62,魔攻+15,,不思議な力が宿ったハンマー。腰への負擔が軽減された。,22,重錘,鐵,銅,銅,,,7600,3000
改良錘,グレートハンマー,,82,,,攻撃時の衝撃を和らげるように設計されたハンマー。重心のバランスがとても良い。,28,戰鬥錘,銅,銀,錘子的碎片,,,11500,3420
金屬球棒,アイアンカッキーン,,110,,,競技用の鉄の棒。どうやって使うのかは、よくわからないがこれなら力の少ない人でも球を遠くに飛ばせるかも知れない。,32,球棒,鐵,鐵,鐵,,,12460,3840
覺醒的破錘子,目覚めたボロハンマー,,140,魔攻+90,,農具用のハンマーを何とか改良したもの。俺は戦うために生まれた、という意気込みが感じられる一品。ハンマーだがクリティカルがでやすい。,38,破錘子,獸人的破布,獸人的破布,,,,18600,4800
火之錘,フレイムハンマー,,153,魔攻+70,,片方に火の力を秘める。叩くときには、火が著いて押す力を手助けしれくれる。,39,戰鬥錘,金,軟綿綿綿,射手的火藥,,,21360,4970
玩具錘,ピコピコハンマー,,80,魔攻+160，気絶+99，クリティカル率+0,非常容易令對手氣絕,このハンマーを受けた人は痛がる振りをしなければならない。それがこの世界の理。相手を非常に気絶させやすい。,46,蟲皮,蟲皮,蛋,,,,25200,1530
天空錘,スカイハンマー,風,179,魔攻+90,,羽が生えたハンマー。おかげでとても軽くなり、疲れにくいらしい。,47,戰鬥錘,金,鳥之羽,鳥之羽,鳥之羽,,26360,7370
巨錘,ギガントハンマー,,204,,,巨大なハンマー。自分を叩いてしまわないように注意が必要。,48,戰鬥錘,鐵,金,金,鬥牛之角,,28870,7420
冰之錘,アイスハンマー,水,226,魔攻+100,,氷でできたハンマー。暑いときには少しだけ取って使うことができる。,55,戰鬥錘,金,金,龜殼,植物根,,39700,9570
骨錘,ボーンハンマー,闇,232,魔攻+105,,さらに軽量化したハンマー。軽くて強度の高い骨により、強さと軽さを両立した。,58,戰鬥錘,白金,蝎子的尾巴,鬥牛之角,鬥牛之角,,44420,9930
大地之錘,グラヴィトンハンマー,地,243,魔攻+120,,大地の力を秘めたハンマー。強く叩いても手がしびれないように作られている。,66,戰鬥錘,白金,結實的藤,龜殼,上質的毛皮,,59440,11130
輕錘,シュナーベル,,255,,,軽量化を試みたハンマー。全體のバランスを重視した。,69,戰鬥錘,銀,白金,豹爪,戰鬥之證,,62000,18000
尖刺鐵錘,スパイクハンマー,,276,,,トゲつきのハンマー。叩いた上にチクチクするというなんともすごいハンマー。ハンマーだがクリティカルがでやすい。,73,戰鬥錘,白金,白金,狼牙,狼牙,狼牙,87600,13560
水晶錘,クリスタルハンマー,水,290,魔攻+130,,水の力を宿したハンマー。とても硬いハンマーヘッドと冷たいトゲで、叩かれたほうはたまったもんじゃない。,75,戰鬥錘,金,白金,白金,狼牙,,99900,16620
巨錘改,ギガントハンマー改,,320,魔攻+75,,不思議な力が宿ったハンマー。位の高い巨人族が使用していたハンマーで、柄の部分には名前が刻まれている。,81,巨錘,銅,白金,白金,昆蟲的下顎,,176000,12000
金剛,金剛,,368,,攻擊範圍廣,大きな金屬の塊を、繋ぎ合わせた武器。もはや振り回しているのか、振り回されているのかがわからなくなる。攻撃範囲が広い。,84,力石,魔人之角,魔人之角,魔人之角,魔人之角,魔人之角,503600,28770
粉碎之錘,ミョルニル,地,399,魔攻+190,,大地の力が宿ったハンマー。3人同時に地面を叩くと、地震が起こると言われている。試してはいけない。,94,戰鬥錘,白金,白金,巨人手套,錘子的碎片,上質的毛皮,706420,29800
命運粉碎者,フェイタルクラッシュ,,425,魔攻+150,容易使出會心一擊，攻擊範圍廣,規格外の大きさを誇るハンマー。攻撃を受ける方は、まるで壁がせまってきているかのような気持ちになる。クリティカルが出やすく、攻撃範囲も広い。,95,戰鬥錘,白金,龍牙,龍牙,壞掉的木箱,壞掉的木箱,816300,30330
飛濺之星,スプラッシュスター,光,448,魔攻+220,,魔法の力を利用して作られたハンマー。その名の通り、星たちが水しぶきのように舞っているかのようにも見える。,97,戰鬥錘,白金,鑽石,惡魔之血,妖精之粉,水龍的羽鰭,1210980,34980
