name,jpName,attr,atk,sp,se,notion,skillLv,item1,item2,item3,item4,item5,item6,buy,sell
短劍,ショートダガー,,6,,,両手にそれぞれ剣を持ち、圧倒的な手數で相手を攻め立てる武器。攻撃を重視するため、盾の効果が得られなくなるという欠點も。,5,鐵,鐵,,,,,950,110
鋼鐵雙刃,スティールエッジ,,13,,,鉄を鋭く加工した剣を二本用意した武器。やや重くなってしまったため、片手ずつ扱うにはそれなりの慣れが必要。,9,短劍,鐵,鐵,,,,1510,340
鋼鐵之刃,アイアンエッジ,,24,魔攻+5,,強さを求め、さらに強化した雙剣。重量はましてしまったが、重さのバランスが良いため、気にせず扱うことができる。,13,鋼鐵雙刃,鐵,鐵,,,,2980,750
盜賊匕首,シーフナイフ,,35,,,盜賊や海賊がよく使っている雙剣。持つと、少し亂暴な心持ちになる。,16,短劍,銅,海盜哥布林的布,海盜哥布林的布,,,3670,960
冰之刃,フロストエッジ,水,46,魔攻+20,,冷気ただよう二本の剣。両手にその剣を持つため、冷え性の使い手には若干つらい武器になった。,21,短劍,銅,海盜哥布林的布,,,,4630,1020
雙不求人,ダブルまごの手,,42,魔攻+49,,背中がかゆいときに使う雙剣。右手でも左手でも、かゆいところを手広くカバーできる。,24,樹枝,樹枝,,,,,4160,190
斬鋼刃,斬鋼刃,,57,,,高熱で加工し、硬度を高く保った剣。鋼をも切り裂くとされる。,25,短劍,銅,銅,,,,8484,980
風之刃,ウィンドエッジ,風,66,魔攻+30,,うなる2本の剣が風を起こし、その風により、相手を斬ることができる。,28,短劍,鐵,蝎子的鉗子,,,,9260,1160
毀滅之墻,ブロークンウォール,地,75,魔攻+40,,大地の力を宿す雙剣。その高すぎる硬度により、斬ったはずの大巖は、真っ二つに切斷するはずが、粉々に崩れてしまったという。,30,短劍,銀,地之結晶,錘子的碎片,,,10440,2300
蠑螈雙劍,サラマンダー,火,88,魔攻+45,,刀身が赤く燃える雙剣。觸れるとヤケドするぜ、と両耳から聞こえてくるようだ。,32,短劍,金,生鏽的箭頭,火之結晶,,,11100,2820
