name,jpName,def,mdef,sp,se,buy,sell,skillLv,item1,item2,item3,item4,item5,item6
手織帽,手編みのニット,5,5,魔攻+15,,980,760,9,毛線球,,,,,
集中耳墜,集中のイヤリング,0,15,魔攻+12，耐封印+6,,1400,100,12,鐵,生鏽的箭頭,,,,
防災頭巾,おはしな頭巾,15,12,,,1890,270,16,海盜哥布林的布,海盜哥布林的布,巨人手套,,,
氣勢頭巾,どすこいハチマキ,32,27,攻擊+20,麻痹耐性提升,6360,480,32,獸人的破布,海盜哥布林的布,哥布林的繃帶,哥布林的繃帶,,
漂亮帽子,おしゃれな帽子,45,45,,耐気絶+25，耐クリティカル+25,13850,550,35,哥布林的繃帶,鳥之羽,毛皮,毛皮,,
銀髮簪,銀のかんざし,0,62,魔攻+30,,9950,570,38,銀,骨膠,,,,
名牌眼鏡,ブランドメガネ,60,60,筋力+15,耐気絶+25，耐クリティカル+25,30670,1810,48,骨膠,鬥牛之角,古代魚之骨,浮游靈頭巾,,
金髮簪,金のかんざし,20,80,魔攻+50,封印耐性稍微提升,24950,1850,53,金,骨膠,,,,
羽毛帽,羽付き帽子,112,98,耐気絶+25，耐クリティカル+25，愛半減,,72810,2830,61,鳥之羽,毛皮,毛皮,上質的毛皮,絲綢,絲綢
魔女耳墜,魔女のピアス,30,112,魔攻+80，知力+20，耐封印+63，闇半減,暗屬性的傷害減半，很難受到封印,103020,4860,65,金,毛皮,銀,鐵,魔法師之粉,銀
魔法師耳墜,魔法石のイヤリング,50,250,耐気絶+25，耐クリティカル+25，耐封印+63，光半減,光屬性的傷害減半，很難受到封印,448690,12670,82,銀,銀,紅寶石,紅寶石,魔力結晶,魔法師之粉
