name,jpName,attr,atk,sp,se,notion,skillLv,item1,item2,item3,item4,item5,item6,buy,sell
戰斧,バトルアックス,,10,,,一撃の攻撃力を目的として、改良したオノ。取り扱いには注意が必要。オノは基本的にクリティカルが出やすいように作られている。,6,鐵,鐵,鐵,鐵,,,1300,280
戰鬥鐮刀,バトルサイズ,,19,,,オノの刃を、切れ味重視で加工した武器。農業用のカマよりも、鋭さも大きさもかなり増している。,9,木材,生鏽的箭頭,堅固的角,,,,1800,440
認真的破斧,本気なボロのオノ,,28,魔攻+20,,農業用のオノを改良したもの。農作業を捨て、自身の力を解放した荒ぶるオノ。,12,破斧子,生鏽的箭頭,生鏽的箭頭,,,,2100,400
刺斧,ポールアックス,,47,,,三日月の刃を持つオノ。先端がとがっていて、突くこともできる。,16,戰斧,銅,巨人之爪,,,,3750,1530
刺斧改,ポールアックス改,,63,魔攻+15,,不思議な力で強化されたオノ。握りやすくなり、正確に刃先を向けることができる。,24,刺斧,銅,巨人之爪,,,,7800,3100
改良斧,グレートアックス,,73,,,バランスよく改良したオノ。迷ったらこのオノ！と各所で紹介されるくらい親しまれている。,26,戰斧,銀,銀,豹爪,,,10000,3300
毒蜥之牙,バジリスクファング,,98,,攻擊時，附加麻痹效果,何でも布のように裂いてしまう武器。しっかり二枚刃、斬り殘しも安心。攻撃時、マヒの効果がある。,30,戰鬥鐮刀,漂亮的蜘蛛絲,蝎子的鉗子,豹爪,,,11940,3440
砍斧,トマホーク,風,130,魔攻+60,,片刃の持ちやすいオノ。先端につけた房の飾りは、風の力で常になびいている。,34,戰斧,獸人的破布,巨人手套,昆蟲下顎,,,13060,4100
月牙斧,クレセントアックス,,143,,,流線型の片刃が付いたオノ。重心が偏っているため、刃を垂直にするのもむずかしい。,36,戰斧,銀,金,骨膠,,,14740,4800
熾熱戰斧,ヒートアックス,火,157,魔攻+75,,燃えさかる刃のオノ。不死鳥の羽とも呼ばれ、再生の象徴ともなっている。何はともあれ持つだけで熱い。,43,戰斧,金,射手的火藥,射手的火藥,火之結晶,,24660,6650
巖斧,ロックアックス,地,172,魔攻+80,,刃の強度はオノの中でもトップクラス。その強度を保つためか、重さもトップクラス。,45,戰斧,銀,金,戰士之證,鬥牛之角,,25800,6850
月牙斧改,クレセントアックス改,,212,魔攻+50,,不思議な力で強化されたオノ。使いやすさを最重視した設計である意味オノの完成品。,50,月牙斧,銀,金,骨膠,,,35340,7500
凍結戰斧,フロストアックス,水,224,魔攻+95,,凍てつく刃のオノ。切り口が凍るため、痛みを感じないらしい。,53,戰斧,金,絲綢,水之結晶,水之結晶,,38740,7620
棒棒糖,ぺろぺろキャンディー,,192,體力+50,容易令對方氣絕,攻撃しても回復してしまうのでは、と思わせるほど甘いキャンディーの武器。なめるとおいしい。相手を気絶させやすい。,60,蘋果,蘋果,黃油,,,,32000,7800
惡魔之斧,デモンズアックス,闇,240,魔攻+110,,強力な呪いのかかったオノ。悪魔が宿ると言われていた大木を切り倒したときに呪われたと言われている。,62,戰斧,戰士之證,戰士之證,魔人之角,魔人之角,,49180,10200
雙刃戰斧,ダブルエッジ,,260,,,バランスの取れた両刃のオノ。強さ、使いやすさ、知名度から、誰もが知っているオノとなった。,71,戰斧,白金,生鏽的箭頭,古代魚骨,古代魚骨,,73200,18360
奧魯迪爾,オールデール,,302,,,金色の両刃を持つオノ。大きな刃は天使の羽とも呼ばれ美しさと、強さをあわせもつ。,79,戰斧,白金,白金,白金,昆蟲的下顎,,135000,17000
惡魔手指,デビルフィンガー,,351,魔攻+150，クリティカル率+6，吸収+25,,まるで悪魔の爪に裂かれたかのような傷跡が殘るという恐ろしい武器。相手の生命力を奪う力がある。,83,毒蜥之牙,豹爪,狼牙,龍牙,魔人之角,,434450,18400
劊子手,エクスキューショナー,闇,388,魔攻+180,,いわく付きのオノ。攻撃力だけを追い求めた結果、闇の力が宿った。,87,戰斧,白金,生鏽的箭頭,惡魔之血,骷髏,豪邁的胸毛,651860,29900
聖斧,セイントアックス,光,438,魔攻+225,,聖なる力を宿した神聖なオノ。本來、儀式用に作られたものを戦闘用に改良したため、扱いづらい一面もある。,96,戰斧,白金,鑽石,光之結晶,小結晶,水龍的羽鰭,1019720,32570
